SL.,NCR REPORT NO.,DATE OF NCR ,DATE  OF DETECTION,ITEM DESCRIPTION,NCR Description,Part Number,"Modified or Unmodified
FMI",Failure After FMI,Faulty Sl. No.,Healthy Sl. No.,ISSUED BY,Qty.,SUB-SYSTEM, Train No,CAR,RESPONSIBILITY (VENDOR/BEML),STATUS,ITEM REPAIRED/ RECOUPED,ITEM REPLACED (IF ANY),DATE OF REPAIRED/REPLACED,SOURCE,DATE OF INVESTIGATION REPORT RECEIVED,"NCR CLOSED BY DOC.,",GATE PASS           S/No,Remarks,IR Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,NCR-BEML RS3R-T&C-CPD-714,24/Nov/23,01/Nov/23,Condenser Fan Motor - 1,"TS#01-TC-2- VAC 2 -CDF 1-RCCB & QM03 CB Trip reported at depot on 01/11/2023 during CDF Motor functionality testing after CDF FMI.CDF terminal box mounting screw was jammed and Screw damaged during removal from motor, So FTI team locally removed the screws from Motor body. Same CDF has fitted in same location, So We are suspecting CDF Motor failed due to mishandling during screw removal. CDF 1 Motor Winding resistance checked and found low (0).
• Further checked all related wiring for any looseness, cut mark or damage found everything normal. So FTI has Confirmed CDF is faulty.
Correction/ corrective action result:   
CDF has been replaced from DLP Stock and details mentioned below.
Condenser Fan Motor Sr.no:
CDF In: 1000970419
CDF Out: 1000795572
 VAC function checked and found working normally after CDF replacement.
1. Material & Investigation report are require for closure of NCR.
2. Further, M/s Faiveley will have to submit the previous investigation reports for the same equipment.",FT0053012-102,___,___,1000795572,1000970419,Sunil Kumar Rajan,1,VAC,01,TC2- VAC2,M/s Faiveley,OPEN,Recouped,,20.01.2026,DLP,27.07.2024,,289,"IR- Received
Material- Pending","YES
(Attached with NCR 727)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,NCR-BEML RS3R-T&C-CPD-715,07/Dec/23,05/Sep/22,Cab Speaker,"During schedule checking, Metro Railway reported that in DMC2 cab, Cab speaker was not working. After that the faulty speaker was replaced with the healthy speaker from DLP stock. After replacement, function checked & found normal.
Out Sl No. 1890002-0018
In Sl No. 1890002-0010
Correction/ corrective action result: 
1. Item to be repaired/ replaced at the earliest.
2. Investigation report to be submitted for closure of the NCR.",___,___,___,1890002-0018,1890002-0010,Shilpa Sahu ,1,PAPIS,09,DMC-2 ,M/s Televic,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,NCR-BEML RS3R-T&C-CPD-716,30/Nov/23,29/Nov/23,Emergency Inverter ,"TS#09, TC2, VAC2 emergency inverter fault reported by Metro Railway. Same checked and found that the fault was active. On further checking, following abnormalities found:
i. EMI OK (Pin no: 4) signal was low (0 V).
ii. EMI was giving 0 V output.
iii. During checking, all related wirings checked for any looseness, cut mark or damage but found everything was normal. 
Correction/ corrective action result: 
1. The faulty inverter is replaced with a healthy emergency inverter from DLP stock and VAC function checked and it was working normally. 
    In (healthy) Sl. No: 0411 (modified)  
    Out (faulty) Sl. No: 0312 (modified).
3. Items to be repaired/recouped in DLP at the earliest.
4. Investigation report to be submitted for closer of the NCR. 
Note: – 27th no. modified emergency inverter.",___,Modified ,___,0312,0411,Sunil Kumar Rajan,1,VAC,09,TC2 - VAC2,M/s Faiveley,CLOSED,Recouped,Emergency Inverter ,29.11.23,DLP,"Received 
16.04.24",,289,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,NCR-BEML RS3R-T&C-CPD-717,01/Dec/23,10/Nov/23,Saloon Door Motor,"On 10.11.2023, door obstruction problem was found in TS#13 TC1-L4 door during train testing at Howrah maiden. In TCMS “DCU fault- door position sensor failure DL4” was also showing. Several times same fault was reported during train testing. All wiring was jointly checked with KBI and found ok. kept under monitoring after wiring checked and again same reported So KBI has confirmed the saloon door motor was faulty.
Correction/ corrective action result:  
The Saloon door motor was replaced with a healthy one from KBI stock.
1. The faulty motor replacement details mentioned below.
In Sl. No: 00/0000/0017
Out Sl. No: 01/200/0193
2. Investigation report to be submitted for the closure of the NCR. 
Note :- 22 nos Saloon Door motors failed under DLP.",3TD04053R13-01,___,___,01/200/0193,00/0000/0017,Sunil Kumar Rajan,1,Door,13,TC1-L4,M/s KBI,OPEN,Recouped,,,REPLACEMENT BY VENDOR,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,NCR-BEML RS3R-T&C-CPD-718,01/Dec/23,29/Nov/23,Compressor,"Metro Railway reported VAC major fault in TS#03-DMC2-VAC1 and VAC was running in emergency mode in revenue operation. During investigation RCCB found in tripped condition. 3 phase wiring of compressor-2 checked and found grounding at all 3 phases at depot on 29.11.2023. 
FTI representative confirmed that the compressor failed.
Correction/ corrective action result: 
1.Faulty compressor has been removed and healthy compressor installed from DLP stock. (01/12/2023)
    In (healthy) Sl. No: 22BE2621Z
    Out (faulty) Sl. No: 18DK2996Z (Compressor pulsation logic software 0.12 was not uploaded)
7.5 kg refrigerant filled in circuit 2 after compressor replacement VAC function checked and found ok.
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. 
Note: – 12th Nos compressor failed.","FT0053012-002/
ZRH116KTE-TFD-502",___,___,18DK2996Z,22BE2621Z,Sunil Kumar Rajan,1,VAC,03,DMC2- VAC1,M/s Faiveley,CLOSED,Recouped,Compressor,30.11.23,DLP,"Received 
12.02.24",,289,,"YES
(Attached with NCR 282)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,NCR-BEML RS3R-T&C-CPD-719,01/Dec/23,15/Nov/23,"Supply Air Sensor 
(NTC type temperature sensor)","Metro Railway reported low pressure sensor fault in TS#02 TC1. Same checked and found that the TC1 VAC2 supply air sensor was showing abnormal value (102°C). Therefore, the sensor (Sl. No: 731380) was replaced with a healthy one (Sl. No: 10605386-00000082) from DLP stock. After that VAC functions checked and found okay.
Correction/ corrective action result: 
1.Faulty sensor has been replaced with a healthy compressor installed from DLP stock. 
    In (healthy) Sl. No: 10605386-00000082
    Out (faulty) Sl. No: 731380
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR.",FT0053038-002,___,___,731380,10605386-00000082,Shashi Shekhar Mishra,1,VAC,02,TC1-VAC2,M/s Faiveley,OPEN,Recouped,"Supply Air Sensor 
(NTC type temperature sensor)",15.11.23,DLP,Pending,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,NCR-BEML RS3R-T&C-CPD-720,06/Dec/23,27/Nov/23,Saloon Door Motor,"TS#12-DMC1-R1 Saloon door -“DCU Fault –Motor Current failure popped in TCMS VDU.
During checking it was observed that TS#12-DMC1-R1 Saloon door ""showing unknown (White) status”, Motor Current failure in TCMS VDU & DCU 4 times red blinking during door operation.
KBI Field Officer has confirmed that Motor is faulty after above investigation.
Correction/ corrective action result:  
1. M/s KBI has replaced faulty Motor (Sr.No. 04/110/0033) from KBI stock (Healthy Motor Sr.No. 00/0000/0020)
2. Saloon door function checked after replacement door motor and found saloon door working normally.
3. Please submit FIR for NCR Closer-.
Note:- (1) Total 23 nos. Saloon door motor failed.
(2).6 no’s door motor DLP stock are NIL and KBI did not recoup the DLP Stock within time.",3TD04053R13-03,___,___,04/110/0033,00/0000/0020,Sunil Kumar Rajan,1,Door,12,DMC1-R1,M/s KBI,OPEN,Recouped,,,REPLACEMENT BY VENDOR,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,NCR-BEML RS3R-T&C-CPD-721,08/Dec/23,27/Nov/23,Saloon Door Motor,"TS#12-TC2-L3-Saloon door -“DCU Fault –Motor Current failure popped in TCMS VDU.
During checking it was observed that TS#12-TC2-L3-Saloon door ""showing unknown (White) status”, Motor Current failure in TCMS VDU , Door obstruction and DCU 4 times red blinking during door operation.
KBI Field Officer has confirmed that Motor is faulty after above investigation.
Correction/ corrective action result:  
1. M/s KBI has replaced faulty Motor (Sr.No. 02/200/0105) from KBI stock (Healthy Motor Sr.No. 00/0000/0018)
2. Saloon door function checked after replacement door motor and found saloon door working normally.
3. Please submit FIR for NCR Closer-.
Note:- (1) Total 24 nos. Saloon door motor failed.
(2).6 no’s door motor DLP stock are NIL and KBI did not recoup the DLP Stock within time.",3TD04053R13-03,___,___,02/200/0105,00/0000/0018,Sunil Kumar Rajan,1,Door,12,TC2-L3,M/s KBI,OPEN,Recouped,,,REPLACEMENT BY VENDOR,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,NCR-BEML RS3R-T&C-CPD-722,16/Dec/23,15/Dec/23,"Return air temperature sensor
(NTC type temperature sensor)","Return air temperature sensor fault was reported in TS#06 DMC1 VAC1 while health checking of VAC system post fleet checking of AHU chamber for water ingress and SAF overload cables.

On checking found that on TCMS VDU, RAS temp. is showing some –ve value. Same has also been checked from Mona software and found that fault was active. Additionally, in MONA also, found RAS temperature was showing as –ve value (- 51.970C). All related wiring was checked and found okay. So, temperature sensor was suspected faulty. 

Return Air temperature sensor was replaced from DLP stock. After that VAC functionality was checked and result found normal.
Correction/ corrective action result: 
1.Faulty sensor has been replaced with healthy sensor from DLP stock. 
    In (healthy) Sl. No: 1060528370000162
    Out (faulty) Sl. No: 1060528370000041
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. ",FT0053038-002,___,___,"SI. No. 
1060528370000041","SI. No.
1060528370000162",Shilpa Sahu,1,VAC,06,DMC1-VAC1,M/s Faiveley,OPEN,"Recouped on 
15.01.25","Return air temperature sensor
(NTC type temperature sensor)",15.12.23,DLP,"Received
23.03.24",,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,NCR-BEML RS3R-T&C-CPD-723,14/Dec/23,10/Jan/24,DVR,"During the daily check by the Metro rail staff, it was noticed that the DVR recording light was not glowing. Upon a joint inspection by the PTCS engineer, it was found that recording was not occurring. It was subsequently concluded by the PTCS engineer that the DVR was faulty. The faulty DVR was then replaced with a healthy one.
Correction/ corrective action result:  
1. Faulty DVR has been replaced with a healthy one from DLP stock. Thereafter, functionality checked and result found normal.
    In (healthy) Sl. No: 2109545-0001
    Out (faulty) Sl. No: 2109545-0002
2. Material to be repaired/ replaced at the earliest in the DLP.
3. Investigation report is required for closure of the NCR",___,___,___,2109545-0002,    ,Shashi Shekhar Mishra,1,PAPIS,13,DMC2,M/s Televic,OPEN,Pending,DVR,15.12.23,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,NCR-BEML RS3R-T&C-CPD-724,20/Dec/23,16/Dec/23,"Return air temperature sensor
(NTC type temperature sensor)","Low pressure fault in system 1 & system 2 of MC2, VAC2 has been reported in mainline by Metro Railway. While investigation at depot, it has been found that on TCMS VDU, MC2 VAC2 is showing very high saloon temperature of 54°C as compared to ambient temp. whereas corresponding VAC 1 is showing extremely low temperature.
Return air temperature sensor of MC2, VAC2 was cleaned properly & reconnected to see whether fault got reset. But, fault is still persisting. Further RAT sensor has been replaced with healthy sensor from DLP stock and functionality checked. Fault got reset. Based on same, it has been concluded that return air temperature sensor is malfunctioning.
RAT IN Sl No. –  1060538600000006
RAT OUT Sl No. -  NA
Correction/ corrective action result: 
1.Faulty sensor has been replaced with healthy sensor from DLP stock. 
    In (healthy) Sl. No: 106053860000006
    Out (faulty) Sl. No: NA
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. ",___,___,___,NA,"SI. No.
1060538600000000",Shilpa Sahu,1,VAC,03,MC2-VAC2,M/s Faiveley,OPEN,"Recouped on 
15.01.25","Return air temperature sensor
(NTC type temperature sensor)",18.12.23,DLP,"Received
23.03.24",,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,NCR-BEML RS3R-T&C-CPD-725,21/Dec/23,27/Nov/23,Door Control Unit (DCU),"TS#12-DMC2-L3-Saloon door was not working reported by TO during train testing b/w Howrah Maidan to Esplanade.
During checking it was observed that TS#12-DMC2-L3- Saloon door ""showing unknown (White) status” in TCMS VDU, all lights were glowing green in DCU and Saloon door was not working by door operation command . All wiring and supply checked from BEML side and found normal.110 V supplied was not coming to DOL and DIL from DCU during door operation command. 
KBI Field Officer has confirmed that Saloon door DCU is faulty after above investigation.
1. M/s KBI has replaced faulty DCU from DLP Stock on dated 19.12.2023 and replacement detail is mentioned below.
2. Faulty sr.no 315281-00000185 0917 and Healthy sr.no.315281-00000337 0118
3. Saloon door function checked after replacement DCU and found saloon door working normally.
4. Please recouped DLP STOCK With FIR.",3ED01922R20,___,___,315281-00000185 0917,315281-00000337 0118,Sunil Kumar Rajan,1,Door,12,DMC2-L3,M/s KBI,OPEN,Pending,DCU,18.12.23,DLP,"Received
29.03.24",,290,"IR- Received
Material- Pending
",YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,NCR-BEML RS3R-T&C-CPD-726,22/Dec/23,11/Sep/23,Condenser Fan Motor,"Condenser Fan Motor FMI is undergoing in TS#04. While carrying FMI, for MC1, VAC1, CDF2, screws which are holding terminal box with CDF Motor (4 nos.) are not coming out. To take out that particular screw, screws were drilled & punched.
After removal of same, while fitment at train side, it has been found that the particular condenser fan Motor failed due to phase imbalance.
To make train fit, healthy CDF Motor has been taken from FTI stock. After replacement fault is not persisting.
Sl No. details are as under: 
Healthy Sl No. 1001055134
Faulty Sl No. - 1000732557
Correction/ corrective action result: 
1. Condenser fan replaced from FTI stock against retro fitment.
2. Investigation report to be submitted for closure of the NCR.",___,___,___,1000732557,1001055134,Shilpa Sahu,1,VAC,04,MC1-VAC1,M/s Faiveley,OPEN,NA,Condenser fan motor,,REPLACEMENT BY VENDOR,27.07.2024,,289,"IR- Received
Material- FTI stock","YES
(Attached with NCR 727)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,NCR-BEML RS3R-T&C-CPD-727,22/Dec/23,08/Nov/23,Condenser Fan Motor,"Condenser Fan Motor FMI is undergoing in TS#14. While carrying FMI, for MC1, VAC1, CDF2, screws which are holding terminal box with CDF Motor (4 nos.) are not coming out. To take out that particular screw, screws were drilled & punched.
While drilling the same, hole got widened on Motor surface resulted in looseness of screw while tightening. The same may lead to water ingress in future.
Based on same, referred Motor was rejected. To make train fit, healthy CDF Motor has been taken from FTI stock. After replacement, function checked & found ok.
Sl No. details are as under: 
Healthy Sl No. 1001391086
Faulty Sl No. - 1000784560
Correction/ corrective action result: 
1. Condenser fan replaced from FTI stock against retro fitment.
2. To suggest proper method for removal of referred screws.",___,___,___,1000784560,1001391086,Shilpa Sahu,1,VAC,14,MC1-VAC1,M/s Faiveley,OPEN,NA,Condenser fan motor,,REPLACEMENT BY VENDOR,27.07.2024,,289,"IR- Received
Material- FTI stock",YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,NCR-BEML RS3R-T&C-CPD-728,26/Dec/23,15/Dec/23,Compressor,"RCCB trip and VAC Major Fault reported in mainline on 15.12.2023. On 16.12.2023, in depot, it is found that the particular VAC is running in emergency mode even though 415 V is available for train. Further when checked from Mona, it is found that RCCB trip fault is active in event log. Further physically when VAC control panel is opened, RCCB (QF01) is in tripped condition

During investigation, both compressors winding resistance across all the phases are checked & found balanced i.e., 1.2 Ω, 1.3 Ω & 1.3 Ω.  Further all related wirings are checked for any looseness, cut mark or damage, found everything normal. 

Further, both compressors winding is checked with respect to ground. It is found that for compressor 2 winding (U, V & W) vs ground is showing zero thus resulted in all winding become shorted.
Based on above, compressor 2 fault has been assured.
Faulty Sl No. –   18AF3427Z
Healthy Sl No. – 22BE2625Z
After replacement with  healthy compressor from DLP stock, fault is not persisting.
Correction/ corrective action result: 
1. Compressor is replaced from DLP stock.
2. Item to be repaired/ replaced in DLP at the earliest.
3. Investigation report to be submitted for closure of the NCR.",___,___,___,18AF3427Z,22BE2625Z,Shilpa Sahu,1,VAC,01,MC1-VAC1,M/s Faiveley,CLOSED,Recouped,Compressor,18.12.23,DLP,"Received 
12.02.24",,,"IR- Received
Material- Received
","YES
(Attached with NCR 282)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,NCR-BEML RS3R-T&C-CPD-729,23/Dec/23,28/Dec/23,"i) CCU
ii) MRD","“Bus connection failure was appearing on FDS HMI.” OEM team visited Kolkata and investigated the issue thoroughly. OEM declared that 2 nos. MRD and 1 no CCU are faulty. Faulty items need to be replaced/repaired under DLP at the earliest.
Correction / Corrective Action Result: 
i) 2nos faulty MRD SI No: 2001, 0015 & 1no faulty CCU SI no: 1003
ii) Items to be repaired/ replaced at the earliest.",___,___,___,"i) 1003
ii) 2001, 0015",___,Akhilesh Yadav ,"i) 1
ii) 2",FDS,13,"i) DMC2
ii) TC1, DMC2",M/s SAIRA,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,NCR-BEML RS3R-T&C-CPD-730,02/Jan/24,10/Jan/24,PLC," LP/HP filter installation FMI work done by FTI and during on board test below failure reported in TCMS VDU.
VAC 2 – System 1 High Pressure Sensor fault.
VAC 2 - System 2 High Pressure Sensor fault.
VAC 2 - System 1 Low Pressure Sensor fault.
VAC 2 - System 2 Low Pressure Sensor fault.
VAC 2 – Saloon Over Temperature.
VAC 1 – Low Pressure Fault System 1.
VAC 1 – Saloon Over Temperature.
LP 1 sensor wires (pin no : 2 & 3) was shorted in Female quick connector and thus we suspected that
PLC might got faulty in TC1-VAC2.
Correction/ corrective action result: 
1. Faulty PLC has been removed and healthy PLC installed from DLP stock.
    In (healthy) Sl. No: 01640 1802
    Out (faulty) Sl. No: 01783 1829
2. Faulty item to be repaired/ replaced at the earliest.
3. Investigation report to be submitted for closure of the NCR.",___,___,___,01783 1829,01640 1802,Sunil Kumar Rajan,1,VAC,14,TC1 - VAC2,M/s Faiveley,OPEN,Recouped,PLC,03.01.24,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,NCR-BEML RS3R-T&C-CPD-731,20/Jan/24,18/Jan/24,Battery cell block (4 nos. cell),"During schedule maintenance of TS#13, our end customer, Metro Railway reported that one of the cell of 2nd block of 36 cell battery box (left side) of TC1 is melted.  The protective cover was also found melted.
The same has been replaced from DLP stock. 
Correction/ corrective action result: 
1. Faulty item P/N: 216437 (Date: 2018-06-07)
    Healthy item P/N: 216437 (Date: 2020-02-10)
2. Item to be recouped in the DLP stock at the earliest.",___,___,___,P/N - 216437,P/N - 216437,Shilpa Sahu,1,Battery ,13,TC1,M/s SAFT,Closed,,,,,,,,"NCR rejected by OEM.
Found from Mail Communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,NCR-BEML RS3R-T&C-CPD-732,20/Jan/24,19/Jan/24,Low pressure sensor 2,"Low pressure sensor fault was reported in TS#02, MC2-VAC1, system 2 in depot during daily check on 15/01/24. During investigation at depot fault is not persisting. Further, when connected with MONA, LP1 & LP2 pressure found normal. Further, VAC was forced to run in manual mode to enable to run both the compressors, both LP1 & LP 2 pressure value were found normal. So, particular VAC was kept under monitoring that day.
Again on 18.01.24, fault repeated during train departure to mainline. During troubleshooting, it has been observed that particular fault was logged in MONA as well as TCMS. Fault was not persisting during investigation. When particular VAC was connected with MONA, no abnormality observed in LP2 pressure value both in compressor running & not running condition.
Further referred pressure sensor has also been checked for consistency of 110 V. The same found ok. Additionally, continuity of sensor cables w.r.t X05 harting (pin no. 20, 21) has also been checked & found ok. Shielding of cable checked & found ok.
Since fault repeated, so on suspect basic, sensor has been replaced with healthy one from DLP stock.
Faulty Sl No.  Z180313046
Healthy Sl No. Z180378960
After replacement, fault got cleared.
Correction/ corrective action result: 
1. Healthy item installed from DLP stock.
2. Item to be repaired/ replaced at the earliest.
3. Investigation report to be submitted for closure of the NCR.",___,___,___,Z180313046,Z180378960,Shilpa Sahu,1,VAC,02,MC2-VAC1,M/s Faiveley,OPEN,Recouped,Low pressure sensor,19.01.21,DLP,Pending,,,IR- Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,NCR-BEML RS3R-T&C-CPD-733,19/Jan/24,24/Jan/24,Emergency Inverter ,"In TS#13-MC2-VAC1 emergency inverter fault was reported by Metro Railway. During investigation by FTI at depot, fault was found active. On further checking, found below mentioned abnormalities:
1) EMI okay (Pin no. 4) signal was low (OV)
2) EMI was giving zero output voltage.
3) Further FTI checked all related wiring & found normal.
Based on above, FTI representative confirmed that the emergency inverter was faulty. 
Correction/ corrective action result: 
1. The faulty inverter is replaced with a healthy emergency inverter from DLP stock and VAC function checked and it was working normally. 
    In (healthy) Sl. No: 0498 (modified)  
    Out (faulty) Sl. No: 0627 (modified)
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. 
Note: – This is 28th modified emergency inverter failure.",BTN2028U51,Modified ,___,0627,0498,Shilpa Sahu,1,VAC,13,MC2-VAC1,M/s Faiveley,OPEN,Recouped,Emergency Inverter,20/Jan/24,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,NCR-BEML RS3R-T&C-CPD-734,21/Jan/24,24/Jan/24,Emergency Inverter ,"In TS#13-TC2-VAC2 emergency inverter fault was reported by Metro Railway. During investigation by FTI at depot, fault was found active. On further checking, found below mentioned abnormalities:
1) EMI okay (Pin no. 4) signal was low (OV)
2) EMI was giving zero output voltage.
3) Further FTI checked all related wiring & found normal.
Based on above, FTI representative confirmed that the emergency inverter was faulty. 
Correction/ corrective action result: 
1. The faulty inverter is replaced with a healthy emergency inverter from DLP stock and VAC function checked and it was working normally. 
    In (healthy) Sl. No: 0211 (modified)  
    Out (faulty) Sl. No: 0553 (modified).
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. 
Note: – This is 29th modified emergency inverter failure.",BTN2028U51,Modified ,___,0553,0211,Shilpa Sahu,1,VAC,13,TC2-VAC2,M/s Faiveley,OPEN,Recouped,Emergency Inverter,21/Jan/24,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,NCR-BEML RS3R-T&C-CPD-735,21/Jan/24,24/Jan/24,Emergency Inverter ,"In TS#13-TC1-VAC2 emergency inverter fault was reported by Metro Railway. During investigation by FTI at depot, fault was found active. On further checking, following observations are made: 
a) Pin no- 1 & 2 (110 V DC) found ok.
b) Pin no- 3 (110 V DC) EMI ok signal found ok.
c) Pin no- 4 (110 V DC) EMI ok signal found ok.
d) Pin no- 5&6 (110 V DC) START + & START- found ok.
e) Pin no 7,8 & 9 (U, V & W) found ok.
f) Checked for all related wiring like grounding, looseness & found normal.
Further it is observed that EMI is physically working fine. No wrong connection found on Emergency inverter. Then inverter is checked for start time delay (3 times) which came as 25,13 & 16 seconds. So, EMI is suspected. On suspect basis, faulty inverter is replaced with modified EMI from DLP stock and function test done and found ok.
Correction/ corrective action result: 
1. The faulty inverter is replaced with a healthy emergency inverter from DLP stock and VAC function checked and it was working normally. 
    In (healthy) Sl. No: 0511 (modified)  
    Out (faulty) Sl. No: 0547 (modified).
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. 
Note: – This is 30th modified emergency inverter failure.",BTN2028U51,Modified ,___,0547,0511,Shilpa Sahu,1,VAC,13,TC1-VAC2,M/s Faiveley,OPEN,Recouped,Emergency Inverter,22/Jan/24,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,NCR-BEML RS3R-T&C-CPD-736,21/Jan/24,24/Jan/24,Emergency Inverter ,"In TS#13-DMC1-VAC1 emergency inverter fault was reported by Metro Railway. During investigation by FTI at depot, fault was found active. On further checking, following observations are made: 
a) Pin no- 1 & 2 (110 V DC) found ok.
b) Pin no- 3 (110 V DC) EMI ok signal found ok.
c) Pin no- 4 (110 V DC) EMI ok signal found ok.
d) Pin no- 5&6 (110 V DC) START + & START- found ok.
e) Pin no 7,8 & 9 (U, V & W) found ok.
f) Checked for all related wiring like grounding, looseness & found normal.
Further it is observed that EMI is physically working fine. No wrong connection found on Emergency inverter. Then inverter is checked for start time delay (3 times) which came as 21,15 & 16 seconds. So, EMI is suspected. On suspect basis, faulty inverter is replaced with modified EMI from DLP stock and function test done and found ok.
Correction/ corrective action result: 
1. The faulty inverter is replaced with a healthy emergency inverter from DLP stock and VAC function checked and it was working normally. 
    In (healthy) Sl. No: 0444 (modified)  
    Out (faulty) Sl. No: 0315 (modified).
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. 
Note: – This is 31st modified emergency inverter failure.",BTN2028U51,Modified ,___,0315,0444,Shilpa Sahu,1,VAC,13,DMC1-VAC1,M/s Faiveley,OPEN,Recouped,Emergency Inverter,22/Jan/24,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,NCR-BEML RS3R-T&C-CPD-737,21/Jan/24,25/Jan/24,Emergency Inverter ,"In TS#13-DMC2-VAC2 emergency inverter fault was reported by Metro Railway. During investigation by FTI at depot, fault was found active. On further checking, found below mentioned abnormalities:
1) EMI okay (Pin no. 4) signal was low (OV)
2) EMI was giving zero output voltage.
3) Further FTI checked all related wiring & found normal.
Based on above, FTI representative confirmed that the emergency inverter was faulty. 
Correction/ corrective action result: 
1. The faulty inverter is replaced with a healthy emergency inverter from DLP stock and VAC function checked and it was working normally. 
    In (healthy) Sl. No: 0405 (modified)  
    Out (faulty) Sl. No: 0385 (modified)
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. 
Note: – This is 32nd  modified emergency inverter failure.",BTN2028U51,Modified ,___,0385,0405 ,Shilpa Sahu,1,VAC,13,DMC2-VAC2,M/s Faiveley,OPEN,Recouped,Emergency Inverter,21/Jan/24,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,NCR-BEML RS3R-T&C-CPD-738,24/Jan/24,19/Jan/24,MRD,"""Metro Railway reported that in TS#13 TC1 - page grey found in HMI Icom."" Investigated the issue thoroughly and MRD is found faulty. The faulty MRD was replaced with a healthy one from DLP stock. Function checked and it was working normally. 
Correction/ corrective action result:
1. The faulty MRD is replaced with a healthy one from DLP stock. Function checked and it was working normally.
In SI. No: 2018
Out SI. No: 2033
ii) Items to be repaired/replaced at the earliest.",___,___,___,2033,2018,Suraj Pd Barnwal,1,FDS,13,TC1,M/s SAIRA,OPEN,Recouped,MRD,19.01.21,DLP,Pending,,,IR- Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
